FinalIDassigned,AlgaeList,Habit,BCG,BCG45,BCG12,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,NitrogenUptakeMetabolism2,OxygenRequirements,Salinity,Salinity2,Saprobity,TaxonomicGroup,TrophicState,Zygnemataceae,ZHR,CRUS,Green,Phylum,Class,Order,Family,Genus1,orig.FinalID
Psammothidium helveticum,Diatom_2012,BN,2,,yes,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium lauenburgianum,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidaceae,Psammothidium,
Psammothidium levanderi,Diatom_2012,BN,2,,yes,,,,,,,NM,NALON,NALON,DO_100,F,F,OS,,O,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium marginulatum,Diatom_2012,BN,2,,yes,,,,,,,NM,NALON,NALON,DO_100,F,F,OS,,O,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium rechtensis,Diatom_2012,BN,2,,yes,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium rosenstockii,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium rossii,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium sacculum,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium semiapertum,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Psammothidium subatomoides,Diatom_2012,BN,3,,,,,,,,,NM,NALON,NALON,DO_100,F,F,OS,,OM,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Psammothidium,
Pseudanabaena,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena sp 1
Pseudanabaena mucicola,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena mucicola
Pseudoanabaena,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudocharaciopsis,SoftAlgae_2012,,3,,,No,NI,NI,NI,NI,NI,,,,,,,,OC,,No,,,,Heterokontophyta,Eustigmatophyceae,Eustigmatales,Pseudocharaciopsidaceae,Pseudocharaciopsis,Pseudocharaciopsis cf minuta
Pseudocharaciopsis minuta,SoftAlgae_2012,,3,,,No,NI,NI,NI,NI,NI,,,,,,,,OC,,No,,,,Heterokontophyta,Eustigmatophyceae,Eustigmatales,Pseudocharaciopsidaceae,Pseudocharaciopsis,Pseudocharaciopsis minuta
Pseudostaurosira,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudostaurosira brevistriata,Diatom_2012,BN,3,,,,,,,,,NM,NALON,NALON,DO_100,FB,FB,OS,,I,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,
Pseudostaurosira elliptica,Diatom_2012,BN,5,yes,,,,,,,,NM,NALON,NALON,DO_100,FB,FB,BM,,ME,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,
Pseudostaurosira microstriata,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudostaurosira neoelliptica,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudostaurosira parasitica,Diatom_2012,BN,4,yes,,,,,,,,NM,NALON,NALON,DO_100,FB,FB,BM,,ME,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,
Pseudostaurosira parasitica var subconstricta,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,
Pseudostaurosira pseudoconstruens,Diatom_2012,BN,3,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,
Pseudostaurosira robusta,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,
Pseudostaurosira subsalina,Diatom_2012,BN,3,,,,,,,,,NM,NAHON,NAHON,DO_100,BF,Halo,OS,,ME,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,
Pseudostaurosira trainorii,Diatom_2012,BN,4,yes,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,
Pseudostaurosiropsis,Diatom_2012,,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosiropsis,
Pseudostaurosiropsis connecticutensis,Diatom_2012,,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosiropsis,
Pteromonas,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Chlorophyta,Chlorophyceae,Chlamydomonadales,Phacotaceae,Pteromonas ,Pteromonas cf aequiciliata
Pteromonas aequiciliata,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Chlorophyta,Chlorophyceae,Chlamydomonadales,Phacotaceae,Pteromonas ,Pteromonas aequiciliata
Punctastriata mimetica,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puncticulata bodanica,Diatom_2012,P,2,,yes,,,,,,,NM,NALON,NALON,DO_100,F,F,OS,,O,,,,,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Puncticulata,
Puncticulata comta,Diatom_2012,P,0,,,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Puncticulata,
Puncticulata radiosa,Diatom_2012,P,2,,yes,,,,,,,NM,,,,,,,,,,,,,Heterokontophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Puncticulata,
Quadrigula,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Quadrigula,Quadrigula cf closterioides
Quadrigula closterioides,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,Quadrigula,Quadrigula closterioides
Radiococcus,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Radiococcaceae,Radiococcus,Radiococcus cf planktonicus
Radiococcus planktonicus,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Radiococcaceae,Radiococcus,Radiococcus planktonicus
Radiofilum,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Ulvophyceae,Ulotrichales,Gloeotilaceae,Radiofilum,Radiofilum cf conjunctivum
Radiofilum conjunctivum,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Ulvophyceae,Ulotrichales,Gloeotilaceae,Radiofilum,Radiofilum conjunctivum
Reimeria,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Reimeria,
Reimeria sinuata,Diatom_2012,BN,2,,yes,,,,,,,NM,NAHON,NAHON,DO_100,FB,FB,BM,,M,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Reimeria,
Reimeria sinuata f antiqua,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Reimeria,
Reimeria uniseriata,Diatom_2012,BN,2,,yes,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Reimeria,
Rhabdoderma,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Rhabdoderma,Rhabdoderma sp 1
Rhabdoderma vermiculare,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Rhabdoderma,Rhabdoderma vermiculare
Rhabdogloea,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Rhabdogloea,Rhabdogloea cf linearis
Rhabdogloea linearis,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Rhabdogloea,Rhabdogloea linearis
Rhizoclonium,SoftAlgae_2012,,5,yes,,No,high,high,NRF,high,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Rhizoclonium,Rhizoclonium cf hieroglyphicum
Rhizoclonium crassipellitum,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Rhizoclonium,Rhizoclonium crassipellitum
Rhizoclonium hieroglyphicum,SoftAlgae_2012,,5,yes,,No,high,high,NRF,high,NI,,,,,,,,CL,,No,,Yes,Yes,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Rhizoclonium,Rhizoclonium hieroglyphicum
Rhodomonas,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CR,,No,,,,Cryptophyta,Cryptophyceae,Pyrenomonadales,Pyrenomonadaceae,Rhodomonas,Rhodomonas sp 1
Rhodostichus expansus,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae,Rhodostichus ,Rhodostichus expansus
Rhoicosphenia,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Rhoicospheniaceae,Rhoicosphenia,
Rhoicosphenia abbreviata,Diatom_2012,BN,3,,,,,,,,,NM,NAHON,NAHON,DO_75,FB,FB,BM,,E,,,,,Bacillariophyta,Bacillariophyceae,Cymbellales,Rhoicospheniaceae,Rhoicosphenia,
Rhoicosphenia lowei,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhopalodia,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhopalodia acuminata,Diatom_2012,BN,3,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia brebissonii,Diatom_2012,BN,3,,,,,,,,,MM,,,,BF,Halo,,,,,,,,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia constricta,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia gibba,Diatom_2012,BN,2,,yes,,,,,,,MM,NALON,NALON,DO_50,FB,FB,BM,,E,,,,,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia gibba var minuta,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia gibba var ventricosa,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia gibberula,Diatom_2012,BN,3,,,,,,,,,MM,,,DO_100,BF,Halo,,,,,,,,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia musculus,Diatom_2012,BN,4,yes,,,,,,,,MM,,,,B,Halo,OS,,,,,,,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia operculata,Diatom_2012,BN,4,yes,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodia rupestris,Diatom_2012,BN,0,,,,,,,,,MM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Rhopalodia,
Rhopalodiaceae,Diatom_2012,,0,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,,
Rivularia,SoftAlgae_2012,,0,,,Yes,,,,,,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Rivularia,Rivularia cf aquatica
Rivularia aquatica,SoftAlgae_2012,,0,,,Yes,,,,,,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Rivularia,Rivularia aquatica
Rivularia atra,SoftAlgae_2012,,0,,,Yes,,NI,NI,NI,NI,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Rivularia,Rivularia atra
Rivularia biasolettiana,SoftAlgae_2012,,0,,,Yes,,,,,,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Rivularia,Rivularia biasolettiana
Rivularia globiceps,SoftAlgae_2012,,0,,,Yes,,,,,,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Rivularia,Rivularia globiceps
Rivularia haematites,SoftAlgae_2012,,0,,,Yes,NI,NI,NI,NI,NI,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Rivularia,Rivularia haematites
Rivularia manginii,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivularia minutula,SoftAlgae_2012,,0,,,Yes,NI,NI,NI,NI,low,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Rivularia,Rivularia minutula
Rivularia polyotis,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivulariaceae,SoftAlgae_2012,,0,,,Yes,NI,NI,NI,NI,NI,,,,,,,,CB,,No,Yes,,,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,,Rivulariaceae 1
Rossithidium,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Rossthidium,
Rossithidium anastasiae,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rossithidium duthiei,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Rossthidium,
Rossithidium linearis,Diatom_2012,BN,2,,yes,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Rossthidium,
Rossithidium nodosum,Diatom_2012,BN,2,,yes,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Rossthidium,
Rossithidium petersennii,Diatom_2012,BN,0,,,,,,,,,NM,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Rossthidium,
Rossithidium pusillum,Diatom_2012,BN,2,,yes,,,,,,,NM,NALON,NALON,DO_100,FB,FB,OS,,O,,,,,Bacillariophyta,Bacillariophyceae,Cocconeidales,Achnanthidiaceae,Rossithidium,
Scenedesmus,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus
Scenedesmus abundans,SoftAlgae_2012,,5,yes,,No,high,high,NRF,NI,high,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus abundans
Scenedesmus aculeolatus,SoftAlgae_2012,,3,,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus aculeolatus
Scenedesmus acuminatus,SoftAlgae_2012,,4,yes,,No,NI,NI,NI,NI,high,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus acuminatus
Scenedesmus acutiformis,SoftAlgae_2012,,4,yes,,No,NI,NI,NI,high,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus acutiformis
Scenedesmus apiculatus,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus apiculatus
Scenedesmus arcuatus,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus arcuatus
Scenedesmus armatus,SoftAlgae_2012,,4,yes,,No,,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus armatus
Scenedesmus arthrodesmiformis,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus arthrodesmiformis
Scenedesmus balatonicus,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus balatonicus
Scenedesmus bicaudatus,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus bicaudatus
Scenedesmus brasiliensis,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus brasiliensis
Scenedesmus brevispina,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus brevispina
Scenedesmus caudato-aculeolatus,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenedesmus circumfusus,SoftAlgae_2012,,3,,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus circumfusus
Scenedesmus communis,SoftAlgae_2012,,5,yes,,No,high,high,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus communis
Scenedesmus costatus,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus costatus
Scenedesmus denticulatus,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus denticulatus
Scenedesmus dimorphus,SoftAlgae_2012,,4,yes,,No,high,high,NRF,NI,high,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus dimorphus
Scenedesmus disciformis,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus disciformis
Scenedesmus dispar,SoftAlgae_2012,,4,yes,,No,NI,high,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus dispar
Scenedesmus ellipticus,SoftAlgae_2012,,5,yes,,No,high,high,NRF,NI,high,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus ellipticus
Scenedesmus flavescens,SoftAlgae_2012,,4,yes,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus flavescens
Scenedesmus granulatus,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus granulatus
Scenedesmus hystrix,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus hystrix
Scenedesmus intermedius,SoftAlgae_2012,,5,yes,,No,high,high,NI,NI,high,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus intermedius
Scenedesmus intermedius var acutispinus,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus intermedius var acutispinus
Scenedesmus intermedius var balatonicus,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus intermedius var balatonicus
Scenedesmus kissii,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus kissii
Scenedesmus komarekii,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus komarekii
Scenedesmus longus,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenedesmus magnus,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus magnus
Scenedesmus microspina,SoftAlgae_2012,,4,yes,,No,NI,high,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus microspina
Scenedesmus obliquus,SoftAlgae_2012,,4,yes,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus obliquus
Scenedesmus obtusus,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus obtusus
Scenedesmus opoliensis,SoftAlgae_2012,,5,yes,,No,NI,high,NI,NI,high,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus opoliensis
Scenedesmus opoliensis var carinatus,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus opoliensis var carinatus
Scenedesmus pannonicus,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus pannonicus
Scenedesmus protuberans,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenedesmus raciborskii,SoftAlgae_2012,,5,yes,,No,high,high,NI,high,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus raciborskii
Scenedesmus semipulcher,SoftAlgae_2012,,4,yes,,No,NI,NI,NI,NI,NI,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus semipulcher
Scenedesmus serratus,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus serratus
Scenedesmus smithii,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus smithii
Scenedesmus subspicatus,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CL,,No,,,Yes,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,Scenedesmus subspicatus
Schizochlamys gelatinosa,SoftAlgae_2012,,0,,,,,,,,,,,,,,,,,,,,,,Chlorophyta,Chlorophyceae,Chaetopeltidales,Chaetopeltidaceae,Schizochlamys ,Schizochlamys gelatinosa
Schizothrix,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Schizotrichaceae,Schizothrix,Schizothrix cf arenaria
Schizothrix arenaria,SoftAlgae_2012,,0,,,No,NI,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Schizotrichaceae,Schizothrix,Schizothrix arenaria
Schizothrix facilis,NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schizothrix fragilis,SoftAlgae_2012,,0,,,No,,,,,,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Schizotrichaceae,Schizothrix,Schizothrix fragilis
Schizothrix lacustris,SoftAlgae_2012,,0,,,No,,NI,NI,NI,NI,,,,,,,,CB,,No,,,,Cyanobacteria,Cyanophyceae,Oscillatoriales,Schizotrichaceae,Schizothrix,Schizothrix lacustris
